id,status,add_extent,optimal_extent,n_faces
0,ok,47.0224,47.0224,32
1,ok,48.0664,48.0664,34
10,ok,36.8780,36.8780,16
100,ok,32.9820,32.9820,26
1000,ok,30.7264,30.7264,29
10001,ok,45.6379,45.6379,12
10002,ok,48.0119,48.0119,22
10003,ok,36.0035,36.0035,20
10004,ok,45.9622,45.9622,23
10005,ok,27.4752,24.9776,24
10006,ok,47.2958,47.2958,21
10007,ok,37.0825,37.0825,21
10008,ok,43.0549,43.0549,16
10009,ok,33.2654,33.2654,20
1001,ok,35.8084,35.0366,19
10010,ok,19.5360,19.4803,25
10011,ok,41.6968,41.6968,16
10012,ok,32.1566,32.1566,25
10013,ok,25.9518,25.9518,27
10015,ok,48.9076,48.9076,18
10016,ok,28.6899,28.6899,12
10017,ok,46.3167,46.3167,28
10018,ok,34.0452,34.0452,25
10019,ok,47.9641,47.9641,15
1002,ok,48.9726,48.9726,26
10020,ok,44.1784,44.1784,15
10021,ok,44.5912,44.5912,32
10022,ok,48.1753,48.1753,18
10023,ok,35.3074,35.3074,15
10025,ok,39.8420,39.8420,19
10026,ok,34.4657,34.4657,23
10027,ok,40.7756,40.7756,29
10028,ok,49.9809,49.9809,24
10029,ok,49.9563,49.9563,21
1003,ok,49.3399,49.3399,23
10030,ok,35.4038,35.4038,31
10031,ok,43.7131,43.7131,20
10032,ok,44.6661,44.6661,25
10033,ok,46.1542,46.1542,21
10034,ok,96.8755,36.5673,34
10035,ok,45.0984,45.0984,26
10036,ok,43.1063,38.4055,25
10037,ok,22.2616,22.2616,23
10038,ok,40.1031,40.1031,22
10039,ok,38.7690,38.7690,17
1004,ok,37.2109,37.2109,21
10040,ok,47.3853,47.3853,20
10041,ok,43.7023,43.7023,33
10042,ok,32.7803,32.7803,37
10043,ok,33.4320,29.7862,45
10044,ok,45.6658,45.6658,37
10045,ok,48.2991,48.2991,21
10046,ok,42.9263,42.9263,29
10047,ok,37.1989,37.1989,16
10048,ok,552.4846,19.9625,30
10049,ok,39.7421,39.7421,18
1005,ok,42.7704,42.4489,24
10050,ok,18.4323,18.4323,24
10051,ok,49.1133,49.1133,24
10052,ok,48.1794,48.1794,22
10053,ok,39.7725,39.7725,24
10054,ok,46.9961,46.9961,29
10055,ok,39.0859,39.0859,19
10056,ok,21.3157,21.3157,28
10057,ok,29.6690,29.6690,41
10058,ok,44.1062,44.1062,18
10059,ok,38.5308,38.5308,17
1006,ok,40.3711,40.3711,24
10060,ok,37.3623,37.3623,18
10061,ok,41.3655,41.3655,31
10062,ok,46.7364,46.7364,30
10063,ok,42.9163,42.9163,28
10064,ok,17.4025,17.4025,11
10065,ok,36.1788,36.1788,22
10066,ok,25.8518,25.8518,23
10067,ok,47.3553,47.3553,21
10068,ok,41.8352,41.8352,14
10069,ok,44.2705,44.2705,35
1007,ok,34.7789,34.7789,14
10070,ok,18.4826,18.4826,50
10071,ok,38.1392,38.1392,23
10072,ok,45.3996,45.3996,33
10073,ok,46.3061,46.3061,42
10074,ok,41.8280,41.8280,22
10075,ok,43.0458,43.0458,31
10076,ok,34.8564,34.8564,15
10077,ok,38.8291,38.8291,25
10078,ok,21.3605,21.3605,29
10079,ok,37.2024,37.2024,28
1008,ok,39.2389,39.2389,25
10080,ok,45.8368,45.8368,21
10081,ok,44.3072,43.8961,21
10082,ok,45.1074,45.1074,32
10083,ok,33.0766,33.0766,31
10084,ok,38.1355,38.1355,30
10085,ok,33.8506,33.8506,14
10086,ok,43.6752,43.6752,28
10087,ok,47.6524,47.6524,22
10088,ok,29.1941,29.1941,31
10089,ok,44.4035,44.4035,22
1009,ok,36.7702,36.7702,19
10090,ok,39.9266,39.9266,22
10091,ok,37.8097,37.8097,22
10092,ok,48.7199,48.7199,22
10093,ok,28.5453,28.5453,31
